Emin,Emax,sigma,sigma_stat_err,sigma_syst_err,E_avg,E_err,sigma_err
8.2,8.38,0.043,0.012,0.027,8.29,0.09,0.029546573
8.38,8.56,0.136,0.022,0.026,8.47,0.09,0.034058773
8.56,8.74,0.249,0.029,0.029,8.65,0.09,0.041012193
8.74,8.92,0.326,0.048,0.016,8.83,0.09,0.050596443
8.92,9.1,0.206,0.059,0.056,9.01,0.09,0.081344945
9.1,9.28,0.2,0.06,0.018,9.19,0.09,0.062641839
9.28,9.46,0.489,0.087,0.019,9.37,0.09,0.089050547
9.46,9.64,0.71,0.134,0.064,9.55,0.09,0.148499158
9.64,9.82,0.507,0.08,0.019,9.73,0.09,0.0822253
9.82,10,0.683,0.1,0.116,9.91,0.09,0.153153518
10,10.18,0.829,0.119,0.064,10.09,0.09,0.135118467
10.18,10.36,0.848,0.123,0.059,10.27,0.09,0.136418474
10.36,10.54,1.321,0.193,0.067,10.45,0.09,0.204298801
10.54,10.72,0.981,0.134,0.104,10.63,0.09,0.169623112
10.72,10.9,1.151,0.14,0.051,10.81,0.09,0.149
10.9,11.08,1.114,0.126,0.034,10.99,0.09,0.130506705
11.08,11.26,1.594,0.208,0.144,11.17,0.09,0.252982213
11.26,11.44,1.791,0.344,0.026,11.35,0.09,0.344981159
8.2,8.56,0.116,0.031,0.013,8.38,0.18,0.033615473
8.56,8.92,0.343,0.067,0.082,8.74,0.18,0.105891454
8.92,9.28,0.313,0.127,0.052,9.1,0.18,0.137233378
9.28,9.64,0.835,0.194,0.185,9.46,0.18,0.268069021
9.64,10,0.868,0.196,0.109,9.82,0.18,0.224269927
10,10.36,0.949,0.187,0.102,10.18,0.18,0.213009389
10.36,10.72,1.383,0.284,0.323,10.54,0.18,0.430098826
10.72,11.08,1.274,0.206,0.184,10.9,0.18,0.276210065
11.08,11.44,2.158,0.421,0.657,11.26,0.18,0.780314039
11.44,11.8,3.245,0.928,0.384,11.62,0.18,1.004310709
